scenario,condition,wave,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,Oz,O2
easy,silence,alpha,0.8126512,0.7557822,0.78919035,0.799637,0.9257489,1.0018556,0.9530604,0.72143275,0.834672,0.9553363,0.94026804,0.84951,0.7226296,0.84293586,0.9398642,0.81501704,0.75333214,0.71448547,0.87926847,0.8484337,0.6745994,0.6174277,0.8123434,0.90069884,0.7424874,0.559906,0.7842343,0.7606117,0.69235444,0.6950946
easy,feedback,alpha,0.7547615,0.72465426,0.7519182,0.697004,0.825757,0.89344436,0.8373288,0.7071682,0.7088212,0.84543407,0.8451745,0.72931755,0.57914567,0.74719167,0.8635477,0.7409095,0.62230766,0.6013863,0.8000603,0.78201073,0.60804576,0.48649618,0.71221405,0.8295947,0.69348156,0.49475765,0.68485796,0.54313976,0.54526633,0.5390351
easy,silence,beta,0.7918206,0.56494665,0.79149604,0.6859172,0.6215131,0.56182474,0.7444673,0.49726212,0.694938,0.4976437,0.5187449,0.6273183,0.53060186,0.46062565,0.45573542,0.44606325,0.60219556,0.3997754,0.4106084,0.4032992,0.38743135,0.37592503,0.39480984,0.39606833,0.3943255,0.4005604,0.45414248,0.5061257,0.45650664,0.47049484
easy,feedback,beta,0.6215032,0.48794612,0.6044713,0.5872332,0.52098125,0.48745677,0.57583004,0.5090203,0.55399334,0.4387316,0.45162207,0.5011772,0.4685302,0.41415823,0.41177756,0.40952826,0.52783,0.37463084,0.3770249,0.36979124,0.367966,0.28545356,0.353076,0.36900795,0.34911126,0.3365291,0.3574549,0.34727085,0.34862688,0.35024688
easy,silence,delta,1.676907,1.6616889,1.6942115,1.6820784,1.8413591,2.0669181,1.8179699,1.5477567,1.4821857,2.156737,1.8378849,1.5602874,1.2590764,1.6073471,1.9179286,1.5038757,1.2218882,1.328336,1.7645497,1.6422459,1.2423345,1.0850095,1.4338503,1.6415726,1.3812376,1.0049504,1.1989998,1.0446,1.0651921,1.0368758
easy,feedback,delta,1.8451918,1.8345932,1.8217521,1.6495032,1.9621671,2.1455567,1.9736444,1.7511271,1.5896505,2.0378032,1.9649789,1.6601385,1.211258,1.7036427,1.9524736,1.6173084,1.231384,1.2602047,1.7411823,1.6607405,1.2716892,0.9706124,1.4181447,1.6026922,1.3666129,1.0173044,1.256484,0.96456325,1.0527294,0.9728198
easy,silence,gamma,0.62448543,0.43854007,0.6264932,0.5318199,0.44939557,0.39781705,0.54469323,0.40034452,0.5402774,0.36051223,0.36650383,0.4841349,0.47958872,0.35372433,0.32707253,0.329228,0.5765828,0.3338159,0.30133817,0.29476485,0.29792085,0.32673553,0.30125114,0.2854681,0.295833,0.33141568,0.38511965,0.46443257,0.40392363,0.42880484
easy,feedback,gamma,0.49436408,0.3818383,0.46742564,0.46309805,0.37378472,0.33709714,0.41807243,0.41536975,0.4297765,0.3096304,0.31276304,0.3904502,0.3984781,0.3102484,0.28611296,0.3025376,0.46676353,0.294503,0.2701826,0.2641113,0.309827,0.23042177,0.2587395,0.26505968,0.26374316,0.27360752,0.28841296,0.3095682,0.30684143,0.3130529
easy,silence,theta,1.0110854,1.0047324,0.9959779,1.0138842,1.2238473,1.40699,1.1832647,0.9008429,0.97989136,1.3384243,1.2637252,0.9643497,0.77660245,1.0851458,1.2842473,1.0201051,0.7354939,0.79535764,1.1063163,1.0605264,0.7711155,0.644836,0.9135628,1.0011412,0.85570985,0.6126982,0.77337486,0.7288559,0.7058077,0.7072105
easy,feedback,theta,1.0063816,1.010605,1.0080214,0.90273,1.1900159,1.3366839,1.1663725,0.968027,0.9507685,1.2503163,1.2253356,0.9502932,0.7299856,1.0353835,1.2048237,0.9831571,0.70934594,0.7665506,1.0335172,0.9877557,0.72959983,0.564996,0.83733946,0.93554664,0.7807457,0.5581883,0.71113765,0.55089813,0.58881426,0.5572713
hard,silence,alpha,0.73848283,0.7041414,0.7392652,0.7554632,0.87022495,0.9354786,0.89297175,0.758803,0.7555198,0.8699736,0.88227475,0.79479975,0.6714677,0.7613614,0.86296564,0.7757394,0.64671516,0.6123887,0.770732,0.76389784,0.6634188,0.5188425,0.6878618,0.7369761,0.6999264,0.5851147,0.6653404,0.62028974,0.5849655,0.6135479
hard,feedback,alpha,0.7567045,0.7212587,0.75622684,0.7495172,0.8473372,0.9178353,0.86222863,0.7385786,0.7595474,0.8567743,0.8584766,0.7522709,0.6644762,0.7563661,0.8597958,0.7605174,0.6499546,0.64933765,0.80147904,0.79344815,0.64185876,0.5730326,0.7409182,0.8208993,0.72545886,0.56371295,0.678391,0.65348834,0.57935274,0.5932222
hard,silence,beta,0.65307796,0.49847725,0.6330693,0.6747876,0.5616205,0.5215273,0.6352215,0.5709275,0.58843315,0.48154053,0.5002781,0.5693885,0.5816685,0.46813533,0.45799315,0.47741795,0.5360928,0.44695345,0.4157562,0.4123963,0.44175848,0.36547375,0.39954218,0.3879597,0.40614766,0.42086995,0.40114182,0.438307,0.40997916,0.44370615
hard,feedback,beta,0.7187009,0.5132059,0.6750345,0.7233529,0.5888151,0.5439216,0.6546902,0.61503184,0.64800155,0.4943849,0.5069067,0.57947206,0.50483334,0.46792734,0.46170866,0.46759877,0.61618537,0.4385577,0.42706612,0.42058977,0.42388502,0.41596493,0.43347108,0.40965822,0.4152111,0.40210736,0.4088577,0.4935085,0.42897546,0.4438351
hard,silence,delta,1.7074363,1.7225285,1.6468046,1.7020937,1.9690955,2.1526167,1.9207327,1.6644228,1.5530088,1.9670829,1.9564637,1.5711073,1.2062668,1.6657925,1.9315791,1.6040123,1.2148906,1.2451867,1.6956999,1.6288663,1.287317,0.95347667,1.4046603,1.5331008,1.3882334,1.0089082,1.3027673,1.0177287,1.0349386,1.0278941
hard,feedback,delta,1.7494135,1.7613139,1.7263865,1.6869873,2.0044603,2.2304285,2.0211074,1.6582446,1.6023847,2.0752697,2.046106,1.6453347,1.2463115,1.7226105,2.0314333,1.6949652,1.2681234,1.3017641,1.8254317,1.7452793,1.325425,1.0113502,1.4634134,1.679079,1.4787989,1.0468522,1.3714899,1.0910589,1.1204311,1.1101888
hard,silence,gamma,0.54205954,0.41084018,0.52029645,0.56394905,0.41573012,0.37890446,0.48421,0.50471574,0.4718701,0.3531974,0.36332035,0.47222483,0.55113876,0.3683658,0.33625492,0.3749876,0.47734314,0.39470288,0.31448218,0.31378382,0.36959356,0.3237695,0.31975073,0.29739532,0.32494667,0.36017662,0.33591875,0.40306568,0.36985576,0.4032571
hard,feedback,gamma,0.5991798,0.41238537,0.5325928,0.6048927,0.4407833,0.39101496,0.49282956,0.49580383,0.5382958,0.3628569,0.3621849,0.4692117,0.45305696,0.36616182,0.3322891,0.35654292,0.571976,0.37784007,0.3216438,0.312399,0.3508563,0.37583438,0.34910536,0.30804762,0.3287322,0.3419942,0.3477317,0.4626151,0.3951042,0.4099815
hard,silence,theta,0.9706722,0.9488404,0.92460984,0.9711324,1.1868185,1.3297647,1.1392354,0.9218305,0.9350655,1.2039136,1.1866193,0.92893547,0.726518,0.9848567,1.1622396,0.9673097,0.73674953,0.74282604,0.9937974,0.95512336,0.76525265,0.58070475,0.83652616,0.8764176,0.82006806,0.63241297,0.7545051,0.64253587,0.64136285,0.64569217
hard,feedback,theta,1.0304388,1.0321233,1.0149605,1.0152034,1.2388464,1.394268,1.218227,0.96277744,0.99439764,1.25906,1.2407945,0.9837381,0.79274005,1.042962,1.2149737,1.0128689,0.73822516,0.78906316,1.0497919,1.0120734,0.7604744,0.5911871,0.86112803,0.9340715,0.83405185,0.6042601,0.7263332,0.6076746,0.5892531,0.5901335
